Density,Young's Modulus,Yield Strength,Tensile Strength,Specific Heat,Coefficient of Thermal Expansion,"Aluminum, Al","Chromium, Cr","Copper, Cu","Iron, Fe","Magnesium, Mg","Manganese, Mn","Silicon, Si","Titanium, Ti","Zinc, Zn","Zirconium, Zr","Vanadium, V","Boron, B","Nickel, Ni","Gallium, Ga","Oxygen, O","Beryllium, Be","Bismuth, Bi","Lead, Pb","Tin, Sn","Scandium, Sc","Lithium, Li","Silver, Ag"
2.79,-0.047311442034699,-0.9542286791353505,-0.4850700712466454,1.1029363493433542,-1.1358053982956928,93.0,0.0,3.5,1.2,0.1,0.5,2.5,0.25,1.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.72,-0.7596610787081491,0.16144660947283684,-0.07233820867081699,-0.37162167764155046,-0.4891979211092731,98.2,0.0,0.25,0.7,0.8,1.0,0.3,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.72,-0.7596610787081491,-0.6849277474023397,-0.9578356592880488,-0.2892217650288406,-1.2198643703299303,95.9,0.2,0.3,0.7,0.2,0.3,0.6,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.81,-0.047311442034699,0.1075864231262347,-0.019808698888438833,1.1029363493433542,0.4447906570488868,92.5,0.06,0.1,0.15,0.8,0.1,0.15,0.1,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.71,-0.28476132092585066,-0.792648120095544,-0.9053061495056707,1.1029363493433542,1.235088684721174,94.1,0.25,1.0,0.6,0.4,0.5,4.5,0.25,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.82,1.1399379524210544,0.6923541606036294,0.9632435556103525,-0.6462178058624204,-0.4891979211092731,94.4,0.1,3.5,1.0,0.45,0.2,0.9,0.0,0.25,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7,-0.38652555473634287,0.5615508509047384,0.28035992843943636,-0.37478279960880584,-0.4891979211092731,98.1,0.0,0.3,0.0,1.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.71,-0.28476132092585066,-0.5772073747091354,-0.6426586005937799,1.1029363493433542,0.40407833441122987,94.1,0.25,1.0,0.6,0.4,0.5,4.5,0.25,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.67,0.4275883157476043,0.1075864231262347,0.13027561477549876,1.1029363493433542,-0.4891979211092731,93.0,0.0,0.2,0.2,0.4,0.1,6.5,0.04,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
2.83,-0.28476132092585066,0.6384939742570273,0.8581845360455962,-0.6462178058624204,-1.1358053982956928,94.6,0.0,5.0,0.7,0.0,0.0,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0
2.69,-0.7596610787081491,-0.47718131435116,-0.7477176201585362,-0.2247348768971729,-0.05812626965166262,98.9,0.1,0.2,0.7,1.1,0.1,0.4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.73,-0.7596610787081491,-0.792648120095544,-1.2129789925167427,-0.3722539020349978,0.588481207534757,99.0,0.0,0.05,0.7,0.0,1.0,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.71,-0.7596610787081491,-0.6849277474023397,-1.1079199729519864,-0.1404382911041234,-0.06182630132667155,99.0,0.0,0.05,0.95,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
2.8,-0.047311442034699,1.538728517478806,1.5785892416324967,1.039713909998567,0.4447906570488868,91.4,0.18,1.2,0.5,2.1,0.3,0.4,0.2,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.76,1.9879732341751641,1.0616811526946155,0.9107140458279743,-0.2938580772474981,0.13729287900914083,86.8,0.0,2.5,0.5,0.7,0.0,9.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.72,-0.7596610787081491,1.0155152786832422,0.7531255164808398,-0.49869878072458373,-0.13068999764702155,97.0,0.4,0.7,0.5,0.8,0.6,0.9,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.75,-0.047311442034699,-0.26174056896475145,0.3403936539050114,-0.6040695129658956,0.1574095560771439,97.4,0.1,2.2,0.5,0.3,0.1,0.5,0.15,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.66,-0.047311442034699,0.007560362768259287,0.18280512455787692,-0.2247348768971729,0.3011001065630141,95.6,0.05,0.1,0.4,4.0,0.4,0.4,0.15,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.62,-0.047311442034699,-0.669539122731882,-0.13237193413639203,1.1029363493433542,0.8758623085064974,93.4,0.0,0.1,0.2,6.5,0.1,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
