Density,Young's Modulus,Yield Strength,Tensile Strength,Specific Heat,Coefficient of Thermal Expansion,"Aluminum, Al","Carbon, C","Chromium, Cr","Cobalt, Co","Iron, Fe","Manganese, Mn","Molybdenum, Mo","Nickel, Ni","Niobium, Nb (Columbium, Cb)","Silicon, Si","Titanium, Ti","Boron, B","Copper, Cu","Phosphorus, P","Sulfur, S","Zirconium, Zr","Tungsten, W","Vanadium, V","Beryllium, Be"
8.43,1.6731084372460145,2.285128275950175,2.698573133724527,-0.45995415912217896,1.4715567229389517,0.0,0.025,19.0,33.0,1.0,0.15,9.0,33.0,0.0,0.15,1.0,0.01,0.0,0.015,0.01,0.0,0.0,0.0,0.0
8.43,1.6731084372460145,1.7714277406245567,2.3936413332004465,-0.45995415912217896,1.4715567229389517,0.0,0.025,19.0,33.0,1.0,0.15,9.0,33.0,0.0,0.15,1.0,0.01,0.0,0.015,0.01,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,0.2874039719061042,0.3500118623804052,-0.7147633651981796,1.6529784382688504,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.07243456733164766,-0.07513343642720739,-0.7147633651981796,-0.5982399271387602,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.3205990771507869,-0.10445380186221516,-0.7147633651981796,-0.49071114403810373,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.28,0.1552030915516618,1.1683879817640483,1.1709820945606226,1.2622237141178207,-1.1941506709231082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85
8.2,-0.22700329045770745,-0.7077357124686441,-0.4357739312778029,0.6700692765193855,0.24530483684045018,0.8,0.08,17.0,1.0,17.0,0.35,2.8,50.0,4.75,0.35,0.65,0.006,0.3,0.015,0.015,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.8293363222800223,-0.50027873523482,-0.7147633651981796,1.2557046090792734,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.22,0.04600126812041343,0.07894578365802726,-0.19241489816723845,0.9775021229806816,-0.13740228527884338,0.0,0.1,22.0,1.5,18.0,1.0,9.0,47.0,0.0,1.0,0.0,0.008,0.0,0.0,0.0,0.0,0.6,0.0,0.0
8.23,-0.22700329045770745,1.1807962072550053,1.127001546408111,0.8849953025139481,-0.2685026489113975,0.5,0.05,18.0,1.0,19.0,0.35,3.0,52.0,5.0,0.35,0.9,0.009,0.1,0.0,0.0,0.0,0.0,0.0,0.0
8.43,1.6731084372460145,0.2849223268079128,0.1711576332268578,-0.45995415912217896,0.154991253004673,0.0,0.025,19.0,33.0,1.0,0.15,9.0,33.0,0.0,0.15,1.0,0.01,0.0,0.015,0.01,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.5191306850060983,-0.3096963599072695,-0.7147633651981796,0.38276158174004393,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.5687635869699261,-0.3390167253422773,-0.7147633651981796,-0.5254063917873261,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.537409473561031,-1.137060314455755,-1.3447052597630436,2.0549019182369506,0.8584307798896939,0.0,0.04,16.5,0.0,9.5,0.8,0.0,72.5,0.0,0.4,0.3,0.0,0.0,0.015,0.015,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.49431423402418434,-0.19241489816723845,-0.7147633651981796,-0.5982399271387602,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.04600126812041343,0.47104570917226724,0.030419879138820556,0.2269228311697647,-0.721129964968068,0.0,0.01,14.5,2.5,4.0,1.0,15.0,57.0,0.0,0.08,0.0,0.0,0.0,0.025,0.01,0.0,3.0,0.35,0.0
8.2,-0.22700329045770745,0.659650736634813,0.19168188903136327,0.6700692765193855,-0.27300508564223047,0.8,0.08,17.0,1.0,17.0,0.35,2.8,50.0,4.75,0.35,0.65,0.006,0.3,0.015,0.015,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.5439471359880121,-0.28037599447226175,-0.7147633651981796,2.182676877188289,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.3454155281327008,-0.10445380186221516,-0.7147633651981796,-0.46528561896997117,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.94,-0.39080602560457994,-1.5040956244782617,-1.8548796183321787,2.5035876941534565,-0.46316682521429364,0.6,0.05,19.0,0.0,39.5,1.5,0.0,30.0,0.0,1.0,0.15,0.0,0.75,0.0,0.015,0.0,0.0,0.0,0.0
8.37,-3.5030579933951578,-1.6582057850759473,-2.769675019904421,1.6976150966738277,0.5512056853164278,0.0,0.15,20.0,0.0,5.0,1.0,0.0,76.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.6804376163885387,-0.28037599447226175,-0.7147633651981796,0.35268353871674396,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
