Density,Young's Modulus,Yield Strength,Tensile Strength,Fatigue Strength,Specific Heat,Coefficient of Thermal Expansion,"Aluminum, Al","Carbon, C","Chromium, Cr","Cobalt, Co","Iron, Fe","Manganese, Mn","Molybdenum, Mo","Nickel, Ni","Niobium, Nb (Columbium, Cb)","Silicon, Si","Titanium, Ti","Boron, B","Copper, Cu","Phosphorus, P","Sulfur, S","Zirconium, Zr","Tungsten, W","Vanadium, V","Beryllium, Be",Nb + Ta,"Nitrogen, N",Y2O3
8.44,0.37277932336964076,-0.6329987602251536,-0.19585822680563617,49.02,-0.5930662583982019,-0.3081657144499422,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.43,0.8486440502100302,3.0372258898522233,2.575860823170069,49.5,-0.24606857905654891,-0.5528110651172495,0.0,0.025,19.0,33.0,1.0,0.15,9.0,33.0,0.0,0.15,1.0,0.01,0.0,0.015,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,0.31984802392955003,0.4082653673477434,48.78,-0.5930662583982019,-0.3773931440241686,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.45,-2.8233270509314807,-1.3505747334774612,-2.141136199979518,49.68,-5.09303616340555,0.8154487194086818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.4793162025130115,-1.1035403820299454,-2.1894660875117884,49.53,1.9069170221614393,-0.12366365101456554,0.0,0.05,16.5,0.0,10.0,0.8,0.0,72.5,0.0,0.4,0.0,0.0,0.5,0.015,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,-0.4565456520483566,-0.11128092362416303,49.02,-0.5930662583982019,-0.27934705598464976,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.28,-2.983132369646537,-1.2635245334435747,-1.9236517060843015,49.62,-0.2565685088348627,1.0879729896782768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.3,0.0,0.0,0.4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0
8.13,0.10643712551121401,0.9291994241667555,0.8432343551381766,48.81,0.8314242148646755,0.3706389909226967,0.3919999999999993,0.09579999999999983,21.015,0.99,6.583000000000001,0.5065,7.62,61.995,3.6259999999999946,0.39040000000000014,0.3789999999999994,0.0,0.005,0.0,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.23073015117847984,1.3338652189188767,0.8939807370470605,49.77,0.6569253818816186,-0.6348815924857991,0.8,0.08,17.0,1.0,17.0,0.35,2.8,50.0,4.75,0.35,0.65,0.006,0.3,0.015,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,-0.5624175169544348,-0.08711597985802784,48.87,-0.5930662583982019,-0.36611627766818405,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
